#idx, ts,vnf0(nfvi0),tpr,ncore,vnf1(nfvi0),tpr,ncore
166, 182831, 2402050, 100, 1, 16481800, 97, 8
167, 182833, 2376960, 99, 1, 16287700, 97, 8
168, 182834, 2376450, 100, 1, 16306900, 97, 8
169, 182835, 2375280, 99, 1, 16275000, 97, 8
170, 182836, 2376980, 100, 1, 16309900, 97, 8
171, 182837, 2403390, 99, 1, 16467700, 97, 8
172, 182838, 2376060, 99, 1, 16303100, 97, 8
173, 182839, 2377090, 99, 1, 16287800, 97, 8
174, 182840, 2377090, 100, 1, 16311200, 97, 8
175, 182841, 2377730, 99, 1, 16292200, 97, 8
176, 182842, 2376340, 100, 1, 16305600, 97, 8
177, 182843, 2376560, 99, 1, 16284300, 97, 8
178, 182844, 2400900, 100, 1, 16474300, 97, 8
179, 182845, 2377090, 99, 1, 16288400, 97, 8
180, 182846, 2377220, 100, 1, 16311800, 97, 8
181, 182847, 2394620, 99, 1, 16408000, 97, 8
182, 182848, 2377470, 99, 1, 16285700, 97, 8
183, 182849, 3079700, 82, 1, 15349300, 96, 8
184, 182851, 5994340, 71, 4, 11945500, 94, 8
185, 182852, 5938120, 89, 8, 11840600, 94, 8
186, 182853, 7604910, 86, 8, 9355590, 100, 8
187, 182854, 8309560, 87, 8, 8310710, 92, 4
188, 182855, 9101510, 89, 8, 7899610, 99, 4
189, 182856, 11826000, 91, 8, 5930270, 97, 4
190, 182857, 11825900, 92, 8, 5918260, 100, 2
191, 182858, 3657680, 100, 4, 1835690, 90, 2
192, 182859, 0, 100, 2, 0, 100, 1
193, 182900, 0, 100, 1, 0, 100, 1
194, 182901, 0, 100, 1, 0, 100, 1
195, 182902, 0, 100, 1, 0, 100, 1
196, 182903, 0, 100, 1, 0, 100, 1
197, 182904, 0, 100, 1, 0, 100, 1
198, 182905, 0, 100, 1, 0, 100, 1
199, 182906, 0, 100, 1, 0, 100, 1
200, 182907, 0, 100, 1, 0, 100, 1
201, 182909, 0, 100, 1, 0, 100, 1
202, 182910, 0, 100, 1, 0, 100, 1
203, 182911, 0, 100, 1, 0, 100, 1
204, 182912, 0, 100, 1, 0, 100, 1
205, 182913, 0, 100, 1, 0, 100, 1
206, 182914, 0, 100, 1, 0, 100, 1
207, 182915, 0, 100, 1, 0, 100, 1
